# n ftf  temps de la fonction mode = 1111- mode inverse -   mode multi directionnel - multi dir sur inverse sur trig non modifié boucle de 1
 1000 0.1200100E-01 0.0000000E+00 0.1360090E+00 0.3480210E+00
 1250 0.2000100E-01 0.0000000E+00 0.2120140E+00 0.5400341E+00
 1500 0.2800200E-01 0.0000000E+00 0.3080200E+00 0.7760490E+00
 1750 0.3600200E-01 0.0000000E+00 0.4160260E+00 0.1056066E+01
 2000 0.4800300E-01 0.0000000E+00 0.5440340E+00 0.1384087E+01
 2250 0.5600300E-01 0.0000000E+00 0.6880430E+00 0.1744109E+01
 2500 0.7200500E-01 0.4001006E-02 0.8520530E+00 0.2156136E+01
 2750 0.8800501E-01 0.0000000E+00 0.1032064E+01 0.2612164E+01
 3000 0.1080070E+00 0.0000000E+00 0.1224077E+01 0.3108194E+01
 3250 0.1280080E+00 0.0000000E+00 0.1440090E+01 0.3648227E+01
 3500 0.1360090E+00 0.3999993E-02 0.1668104E+01 0.4228264E+01
 3750 0.1720100E+00 0.0000000E+00 0.1916121E+01 0.4852303E+01
 4000 0.1880120E+00 0.4000008E-02 0.2176136E+01 0.5520345E+01
 4250 0.2080130E+00 0.0000000E+00 0.2508156E+01 0.6268391E+01
 4500 0.2280150E+00 0.0000000E+00 0.2812176E+01 0.7028439E+01
 4750 0.2680170E+00 0.0000000E+00 0.3128196E+01 0.7816489E+01
 5000 0.2880180E+00 0.0000000E+00 0.3476217E+01 0.8656541E+01
 5250 0.3120200E+00 0.0000000E+00 0.3828239E+01 0.9580599E+01
 5500 0.3680230E+00 0.0000000E+00 0.4196263E+01 0.1048465E+02
 5750 0.3840240E+00 0.0000000E+00 0.4592287E+01 0.1144472E+02
 6000 0.4160260E+00 0.0000000E+00 0.5020313E+01 0.1244878E+02
