# n ftf - mode inverse - mode multi directionnel - multi dir sur inverse fonction trig boucle 1
 1000 0.1200100E-01 0.0000000E+00 0.1360090E+00 0.3440220E+00
 1500 0.2400200E-01 0.0000000E+00 0.3040190E+00 0.7840500E+00
 2000 0.4800300E-01 0.4000001E-02 0.5480340E+00 0.1392087E+01
 2500 0.7200500E-01 0.3999993E-02 0.8480530E+00 0.2172135E+01
 3000 0.1120070E+00 0.0000000E+00 0.1240077E+01 0.3096194E+01
 3500 0.1400080E+00 0.0000000E+00 0.1664104E+01 0.4224264E+01
 4000 0.1960120E+00 0.0000000E+00 0.2180135E+01 0.5536347E+01
 4500 0.2320150E+00 0.4000008E-02 0.2828177E+01 0.7048441E+01
 5000 0.3080190E+00 0.4001021E-02 0.3484218E+01 0.8720545E+01
 5500 0.3600230E+00 0.0000000E+00 0.4236264E+01 0.1051266E+02
 6000 0.4360280E+00 0.0000000E+00 0.5008313E+01 0.1246478E+02
 6500 0.5000319E+00 0.0000000E+00 0.5876368E+01 0.1467292E+02
 7000 0.5800359E+00 0.0000000E+00 0.6824427E+01 0.1705707E+02
