# sur une boucle de 10 trigonométrique modifié ==  n ftf - mode inverse - _b_d - _b_d_d
 1000 0.4000000E-02 0.4000001E-02 0.4000999E-02 0.1200000E-01
 1500 0.0000000E+00 0.4000999E-02 0.8000001E-02 0.1600100E-01
 2000 0.4000001E-02 0.4000001E-02 0.8001000E-02 0.2000100E-01
 2500 0.4001003E-02 0.3999997E-02 0.1600100E-01 0.2400100E-01
 3000 0.4000001E-02 0.8000001E-02 0.1600100E-01 0.3200200E-01
 3500 0.4000001E-02 0.8001000E-02 0.1600100E-01 0.3600200E-01
 4000 0.8000001E-02 0.8001000E-02 0.2000099E-01 0.4400299E-01
 4500 0.1200101E-01 0.8001000E-02 0.2400099E-01 0.4800302E-01
 5000 0.1200101E-01 0.8001000E-02 0.2800101E-01 0.4800299E-01
 5500 0.1200098E-01 0.1200101E-01 0.2800101E-01 0.6000400E-01
 6000 0.1200098E-01 0.1199999E-01 0.3200200E-01 0.6800503E-01
 6500 0.1200098E-01 0.1600102E-01 0.3200200E-01 0.6800398E-01
 7000 0.1200098E-01 0.1600102E-01 0.3600198E-01 0.7600501E-01
 7500 0.1600099E-01 0.1600102E-01 0.4000300E-01 0.8000398E-01
 8000 0.1200098E-01 0.1600099E-01 0.4000401E-01 0.8800501E-01
 8500 0.1600099E-01 0.2000099E-01 0.4400200E-01 0.9200597E-01
 9000 0.2000099E-01 0.2000201E-01 0.4400200E-01 0.1000070E+00
 9500 0.2000099E-01 0.1600099E-01 0.4800302E-01 0.1040060E+00
10000 0.2000201E-01 0.2000099E-01 0.5200303E-01 0.1120070E+00
